"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",4.26915,129.73814,0.65618,2.35517,4,5000
"2",3.99153,129.47951,0.75902,2.45877,5,5000
"3",4.13265,129.64227,0.42504,2.126,6,5000
"4",4.15027,129.66158,0.52603,2.22684,7,5000
"5",4.28266,129.7862,0.71107,2.41134,8,5000
"6",4.30464,129.8084,0.65968,2.36019,9,5000
"7",4.32579,129.82882,0.60062,2.3013,10,5000
"8",4.29797,129.80089,0.65658,2.35703,11,5000
"9",4.32782,129.82922,0.68072,2.38108,12,5000
"10",4.34042,129.84041,0.71583,2.41605,13,5000
"11",4.3526,129.8512,0.72262,2.42279,14,5000
"12",4.3577,129.85642,0.72621,2.42637,15,5000
"13",4.37694,129.87493,0.75746,2.45749,16,5000
"14",4.35973,129.85893,0.75291,2.45296,17,5000
"15",4.37223,129.87141,0.69875,2.39878,18,5000
"16",4.34433,129.84395,0.74346,2.44353,19,5000
"17",4.36545,129.86595,0.67405,2.37412,20,5000
"18",4.36942,129.86886,0.67941,2.37944,21,5000
"19",4.34272,129.843,0.6919,2.39205,22,5000
"20",4.38437,129.88403,0.64702,2.34708,23,5000
"21",4.35012,129.8495,0.68435,2.38446,24,5000
"22",4.36866,129.86795,0.67512,2.37514,25,5000
