f1_e1,f1_e2,f2_e1,f2_e2,n_basis,success_count
7.17723,131.92717,0.89367,2.58395,2,5000
5.89626,130.64918,0.81105,2.50111,3,5000
5.807,130.55792,0.77154,2.46164,4,5000
6.07681,130.82169,0.77836,2.4684,5,5000
6.55003,131.28414,0.77506,2.465,6,5000
7.55111,132.26672,0.73771,2.42761,7,5000
11.62846,136.28281,0.74403,2.43402,8,5000
17.29836,141.88633,0.69837,2.38887,9,5000
18.84999,143.43309,0.64904,2.33978,10,5000
18.88329,143.46571,0.69403,2.38461,11,5000
18.99159,143.63082,0.81692,2.50713,12,5000
