"","f1_e1_spline","f1_e2_spline","f2_e1_spline","f2_e2_spline","n_basis","success_count"
"1",0,0,0,0,1,0
"2",2.0292,72.0085,0.512,1.4747,3,2500
"3",2.022,72.6017,0.1616,1.1375,5,2500
"4",2.0355,73.1836,0.0293,0.9907,7,2500
"5",2.062,73.9631,0.029,0.9994,9,2500
"6",2.0881,75.0921,0.0291,1.0139,11,2500
"7",2.0997,75.9422,0.0294,1.0291,13,2500
"8",2.1087,76.7123,0.0298,1.0371,15,2500
"9",2.1301,77.4908,0.03,1.0398,17,2500
"10",2.1535,78.3943,0.0303,1.0509,19,2500
"11",2.1775,79.2058,0.0307,1.0617,21,2500
"12",2.2058,80.3801,0.031,1.077,23,2500
"13",2.2372,81.509,0.0315,1.0905,25,2500
